Bild;Neu/Bisher;Vorname;Rufname;Nachname;Wahlkreis;Listenplatz;Berufsbezeichnung;Quote;Jahrgang;Pronomen
;0;Ramon;;Iten;Horgen;7;Ingenieur Maschinenbau;;1994;
;0;Joelle;;Jäger;Horgen;6;Archeologie MAS Studentin;;1994;
;1;Davide;;Loss;Horgen;3;Rechtsanwalt MLaw;;1987;
;1;Carmen;;Marty-Fässler;Horgen;2;Primarlehrerin, Stadträtin;Für Chancengerechtigkeit in der Bildung. Für eine starke, offene Politik in der Agglomeration.;1980;
;0;Lorenz;;Rey;Horgen;11;Musiklehrer, Architekt;;1970;
;0;Erdas;;Sen;Horgen;15;Schuhmacher;Ich will ein Zürich, in dem alle Kulturen und Farben zusammenleben.;1964;
;0;Angelika;;Sulser;Horgen;8;Kita-Leiterin;Bildung und Chancengleichheit für alle.;1980;
;0;Daniel;;Tanner;Horgen;12;Stadtrat;;1962;
;0;Thomas;;Walker;Horgen;5;Pensionierter Arzt ( bis 2019 medizinischer IKRK-Delegierter);Mehr soziale Gerechtigkeit: gegen Egoismus und Materialismus!;1954;
;0;Esen;;Yilmaz;Horgen;4;Account Manager;;1975;
;0;Jonathan;;Assenberg;Hinwil;7;Geschäftsführer;Für Veränderung durch eine solidarische und nachhaltige Klima- und Wirtschaftspolitik. Für Gleichberechtigung und eine vielfältige Gesellschaft.;1986;
;1;Harry;;Brandenberger;Hinwil;1;Dipl.-Ing. ETH, Unternehmer;Mehr Platz für unsere Natur - Verlust der Biodiversität stoppen.;1971;
;0;Madleina;;Brunner Thiam;Hinwil;10;;;;
;0;Advije;;Delihasani;Hinwil;2;Fachfrau im Finanz- und Rechnungswesen;Für eine Politik, die den Menschen und die Umwelt in den Mittelpunkt stellt.;1981;
;0;Franziska;;Hagen;Hinwil;5;Sachbearbeiterin Zusatzleistungen zur AHV/IV;Für gleiche Chancen und Rechte: in der Bildung, im Job und im Alter.;1981;
;0;Julia;;Iten;Hinwil;4;Serviceangestellte;Für eine Gesellschaft mit echter Chancengleichheit, ohne kapitalistischer Ausbeutung von Mensch und Natur!;2002;
;0;Matthias;;Mäder;Hinwil;3;;;;
;0;Brigitte;;Meier Hitz;Hinwil;6;Schulleiterin und Geschäftsführerin;Im Kanton Zürich brauchen wir dringend mehr bezahlbare Wohnungen und soziale Gerechtigkeit. Dafür setze ich mich als Frau mit Herz ein.;1966;
;0;Silas;;Muggli;Hinwil;11;;;;
;0;Lukas;;Neukom;Hinwil;8;;;;
;0;Wim;;van Moorsel;Hinwil;9;IT- Consultant;Für eine gesündere Balance zwischen arm und reich - und den nachhaltigen Schutz unserer Umwelt.;1957;
;0;Rixhil;;Agusi;Dietikon;5;Geschäftsinhaberin;Mehr bezahlbare Kitas, um Familie und Beruf zu vereinbaren.;1986;
;0;Scharmila;;Bansal-Tönz;Dietikon;8;;;1980;
;1;Markus;;Bärtschiger;Dietikon;2;Volkswirtschafter, Stadtpräsident;Natur und soziale Netze müssen für alle erhalten bleiben.;1962;
;0;Agron;;Beqiri;Dietikon;7;;;1987;
;0;Besarta;;Berisha Cakolli;Dietikon;6;;;1985;
;0;Leila;;Drobi;Dietikon;10;;;1992;
;1;Rosmarie;;Joss;Dietikon;1;;;1982;
;0;Katharina;;Kiwic;Dietikon;11;;;1996;
;0;Flavio;;Lustenberger;Dietikon;9;Hochbauzeichner, Präsident SP Oberengstringen;Zügige Digitalisierung, zeitgemässe Bildung und zahlbare Wohnungen – für das stehe ich ein.;2001;
;0;Martin;;Steiner;Dietikon;3;;;1991;
;0;Samuel;;Wenk;Dietikon;4;;;1998;
;0;Dominik;;Fleischli;Dielsdorf;9;Gebäudetechnikplaner;Ich setze mich für einen vielseitigen Kanton Zürich ein, in dem alle die gleichen Chancen haben. Eine junge Stimme im Kantonsrat.;2003;
;0;Nick;;Glättli;Dielsdorf;2;Politologe, Selbstständiger Data Consultant;Ich will, dass alle mehr vom Leben haben. Für bezahlbaren Wohnraum – für eine starke Pflege – für ein erstes Kinderhospiz.;1999;
;0;Gürkan;;Gür;Dielsdorf;5;;;1989;
;0;Carsten;;Hügin;Dielsdorf;4;Senior Transportmanager;Für ein vielfältiges, nachhaltiges und sozial gerechtes Furttal. Jetzt und in der Zukunft.;1968;
;0;Simon;;Jacob;Dielsdorf;7;Fachmittelschüler;Für ein Zürich mit gerechten Bildungschancen für alle!;2004;
;0;Corinne;;Lee-Wenger;Dielsdorf;3;;;1966;
;0;Anja Lynn;;Niesper;Dielsdorf;8;;;1998;
;0;Roland;;Niesper;Dielsdorf;11;;;1959;
;0;Karin;;Rogala;Dielsdorf;10;Dozentin für Sozialpädagogik;Für die Vereinbarkeit von Familie und Beruf und für ein starkes System der sozialen Sicherheit für alle Lebensalter.;1963;
;1;Beatrix;;Stüssi;Dielsdorf;1;Kauffrau, Schulpräsidentin, Gemeinde- und Kantonsrätin;Für Chancengleichheit in der Bildung, sozialverträgliche Umweltpolitik, Vereinbarkeit von Familie und Beruf und Gleichberechtigung und Sicherheit aller.;1960;
;0;Nadja;;Tofani;Dielsdorf;6;;;1991;
;0;Lulzime;;Agusi;Bülach;10;;;;
;0;Kurt;;Altenburger;Bülach;4;;;;
;0;Ceren;;Bingöl;Bülach;15;;;;
;0;Allan;;Boss;Bülach;18;Praktikant Stadtplanung;Für eine menschliche Umwelt.;2002;
;1;Michèle;;Dünki-Bättig;Bülach;1;Verantwortliche Stab & Kommunikation, Gemeinderätin;Für einen solidarischen Kanton Zürich. Für einen starken Service Public. Für Dich.;1989;
;1;Christoph;;Fischbach;Bülach;3;Kaufmännischer Angestellter, Stadtrat;Zürich muss gerechter und solidarischer werden. Für eine bessere Chancengleichheit muss das Bildungswesen gestärkt werden.;1978;
;0;Laura;;Fischer;Bülach;11;;;;
;0;Fabien;;Forestier;Bülach;17;Student Bsc Raumbezogene Ingenieurwissenschaften;Wir brauchen ein gleichgestelltes und gerechtes Bildungssystem für alle Menschen und alle sozialen Schichten.;2002;
;0;Philip;;Graf ;Bülach;14;MSc ETH Masch.-Ing., Gemeinderat;Der Ausbau erneuerbarer Energieträger muss zwingend beschleunigt werden. Für die Versorgungssicherheit. Für den Klimaschutz.;1997;
;0;Adrian;;Hediger;Bülach;9;;;;
;1;Qëndresa;;Hoxha-Sadriu;Bülach;2;Dentalassistentin, Studentin Soziale Arbeit;Für einen solidarischen Kanton. Für Stärkung unseres Bildungssystems. Für mehr vielseitige Kultur im gesamten Kanton.;1994;
;0;Esther;;Lehmann;Bülach;12;;;;
;0;René;;Nussbaumer ;Bülach;13;Leiter Sonderpädagogik;Bildung ist der Schlüssel zum Erfolg. Die besten Start- und Bildungsmöglichkeiten für unsere Kinder.;1968;
;0;Lejla;;Salihu;Bülach;6;Dr. med., Schulärztin, Schulärztliche Bereichsleiterin;Für starke Familien, endlich eine echte Gleichstellung in Beruf & Gesellschaft. Sowie Förderung von Gesundheit und Bildung für alle!;1985;
;0;Selina;;Stampfli;Bülach;8;Sozialarbeiterin, Gemeinderätin Bassersdorf;Zürich - ein Kanton in welchem: Volksschule alle gut bildet. Löhne ein würdevolles Leben ermöglichen.;1973;
;0;Max;;Töpfer;Bülach;7;Parteisekretär, Gemeinderat;Für einen Kanton Zürich der vorwärts macht - beim bezahlbaren Wohnraum, beim Klimaschutz und beim Mindestlohn.;2000;
;0;Oliver;;Wenczel;Bülach;16;;;;
;0;Géraldine;;Wirth;Bülach;5;;;;
;0;Holger;;Gurtner;Andelfingen;2;Regionalleiter Schulsozialarbeit;Ich ergreife Partei für eine gerechte Gesellschaft und ein offenes Weinland.;1980;Er/ihm
;1;Sibylle;;Jüttner;Andelfingen;1;Historikerin, Prorektorin;;1974;Sie/ihr
;0;Arnold;;Kohler;Andelfingen;3;Fotograf;;1964;Er/ihm
;0;Jasmin;;Michaud;Andelfingen;4;Sales Manager;Für ein tolerantes Zürich. Für faire Chancen für alle. Für eine Fähigkeitsorientierte Zukunft unserer Kinder.;1991;Sie/ihr
;0;Emma;;Ayubi;Affoltern;4;Kommunikationsberaterin;;1986;Sie/ihr
;0;Felix;;Fürer;Affoltern;3;Schulleiter, Stadtrat Affoltern am Albis;Für eine starke Vertretung des Knonaueramtes. Für eine Standortförderung durch solidarisches Handeln.;1960;Er/ihm
;0;Martin;;Gallusser;Affoltern;7;Oekonom, Informatiker;Bezahlbares Wohnen für alle - mit aktivem Engagement der Gemeinden.;1953;Er/ihm
;1;Hannah;;Pfalzgraf;Affoltern;1;Hebammenstudentin, Jugendprojektleiterin;;1997;Sie/ihr
;0;Roger;;Schmutz;Affoltern;2;Marketing, Werbung, PR, Webdesign;Günstige Wohnungen, mehr Solarenergie, weniger Verkehr, tiefere Krankenkassenprämien und  Bildung für alle - dafür setze mich ein.;1978;Er/ihm
;0;Andrea;;Sidler;Affoltern;5;Lehrerin für Hauswirtschaft und Gestalten;;1966;Sie/ihr
;0;Cafer;;Sterk;Affoltern;6;Sozialarbeiter;;1967;Er/ihm
